"main_publication,hasTitle,Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics"
"main_publication,hasPublicationYear,2007"
"main_publication,:doi,10.1007/s10853-006-0413-0"
"J Mater Sci,asString,J Mater Sci"
"main_publication,hasJournal,J Mater Sci"
"Mihir Roy,asString,Mihir Roy"
"main_publication,hasAuthor,Mihir Roy"
"J. Keith Nelson,asString,J. Keith Nelson"
"main_publication,hasAuthor,J. Keith Nelson"
"R. K. MacCrone,asString,R. K. MacCrone"
"main_publication,hasAuthor,R. K. MacCrone"
"L. S. Schadler,asString,L. S. Schadler"
"main_publication,hasAuthor,L. S. Schadler"
"ScanningElectronMicroscopy,subClassOf,Microscopy"
"ScanningElectronMicroscopy,subClassOf,CharacterizationMethod"
"DifferentialScanningCalorimetry,subClassOf,ThermochemicalMethod"
"DifferentialScanningCalorimetry,subClassOf,CharacterizationMethod"
"X-ray Photoelectron Spectroscopy,subClassOf,XrayPhotonelectronSpectroscopy"
"XrayPhotonelectronSpectroscopy,subClassOf,Spectroscopy"
"XrayPhotonelectronSpectroscopy,subClassOf,CharacterizationMethod"
"Dielectric spectroscopic measurements,subClassOf,DielectricAndImpedanceSpectroscopyAnalysis"
"pulsed electroacoustic analysis,subClassOf,PulsedElectroAcoustic"
"Electron Paramagnetic Resonance,subClassOf,CharacterizationMethod"
"Thermally stimulated current measurements,subClassOf,CharacterizationMethod"
"Absorption current measurements,subClassOf,CharacterizationMethod"
"CharacterizationMethod,subClassOf,PhysicalProcess"
"Spectroscopy,subClassOf,CharacterizationMethod"
"Microscopy,subClassOf,CharacterizationMethod"
"ThermochemicalMethod,subClassOf,CharacterizationMethod"
"PulsedElectroAcoustic,subClassOf,CharacterizationMethod"
"DielectricAndImpedanceSpectroscopyAnalysis,subClassOf,Spectroscopy"
"DielectricBreakdownStrength,subClassOf,ElectricalProperty"
"RealPermitivity,subClassOf,ElectricalProperty"
"LossTangent,subClassOf,ElectricalProperty"
"ElectricalProperty,subClassOf,PhysicalProperty"
"ComponentCompositionWeightFraction_5,subClassOf,ComponentCompositionWeightFraction"
"ComponentCompositionWeightFraction_5,hasValue,5 wt%"
"XLPE,hasName,XLPE"
"XLPE + untreated nanosilica,hasName,XLPE + untreated nanosilica"
"XLPE + AEAPS treated nanosilica,hasName,XLPE + AEAPS treated nanosilica"
"XLPE + HMDS treated nanosilica,hasName,XLPE + HMDS treated nanosilica"
"XLPE + TES treated nanosilica,hasName,XLPE + TES treated nanosilica"
"XLPE + untreated nanosilica,hasProperty,ComponentCompositionWeightFraction_5"
"XLPE + AEAPS treated nanosilica,hasProperty,ComponentCompositionWeightFraction_5"
"XLPE + HMDS treated nanosilica,hasProperty,ComponentCompositionWeightFraction_5"
"XLPE + TES treated nanosilica,hasProperty,ComponentCompositionWeightFraction_5"
"Electron Paramagnetic Resonance,hasEquipment,Bruker ER 042 EPR spectrometer"
"Bruker ER 042 EPR spectrometer,hasName,Bruker ER 042 EPR spectrometer"
"X-ray Photoelectron Spectroscopy,hasEquipment,Perkin Elmer (Model # 5500)"
"Perkin Elmer (Model # 5500),hasName,Perkin Elmer (Model # 5500)"
"Dielectric spectroscopic measurements,hasEquipment,Novocontrol Alpha Analyzer (type K)"
"Novocontrol Alpha Analyzer (type K),hasName,Novocontrol Alpha Analyzer (type K)"
"Dielectric spectroscopic measurements,hasEquipment,Novocontrol active BDS-1200 sample cell"
"Novocontrol active BDS-1200 sample cell,hasName,Novocontrol active BDS-1200 sample cell"
"Absorption current measurements,hasEquipment,Keithley 8009 Resistivity Test Fixture"
"Keithley 8009 Resistivity Test Fixture,hasName,Keithley 8009 Resistivity Test Fixture"
"XLPE,hasProperty,DielectricBreakdownStrength"
"XLPE + untreated nanosilica,hasProperty,DielectricBreakdownStrength"
"XLPE + AEAPS treated nanosilica,hasProperty,DielectricBreakdownStrength"
"XLPE + HMDS treated nanosilica,hasProperty,DielectricBreakdownStrength"
"XLPE + TES treated nanosilica,hasProperty,DielectricBreakdownStrength"
"voltage endurance,subClassOf,ElectricalProperty"
"XLPE,hasProperty,voltage endurance"
"XLPE + untreated nanosilica,hasProperty,voltage endurance"
"XLPE + AEAPS treated nanosilica,hasProperty,voltage endurance"
"XLPE + HMDS treated nanosilica,hasProperty,voltage endurance"
"XLPE + TES treated nanosilica,hasProperty,voltage endurance"
"XLPE,hasProperty,RealPermitivity"
"XLPE + Micron Scale silica,hasProperty,RealPermitivity"
"XLPE + untreated nanosilica,hasProperty,RealPermitivity"
"XLPE + AEAPS treated nanosilica,hasProperty,RealPermitivity"
"XLPE + HMDS treated nanosilica,hasProperty,RealPermitivity"
"XLPE + TES treated nanosilica,hasProperty,RealPermitivity"
"XLPE,hasProperty,LossTangent"
"XLPE + Micron Scale silica,hasProperty,LossTangent"
"XLPE + untreated nanosilica,hasProperty,LossTangent"
"XLPE + AEAPS treated nanosilica,hasProperty,LossTangent"
"XLPE + HMDS treated nanosilica,hasProperty,LossTangent"
"XLPE + TES treated nanosilica,hasProperty,LossTangent"
"Auger Scan-2,hasName,Auger Scan-2"
"Auger Scan-2,subClassOf,Software"
