"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasDOI","10.1007/s10853-006-0413-0"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasProject","Electric Power Research Institute"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasExperiment","Electron Paramagnetic Resonance (EPR)"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasExperiment","X-ray Photoelectron Spectroscopy (XPS)"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasExperiment","DC breakdown strength"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasExperiment","Long-term voltage endurance tests"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasExperiment","Dielectric spectroscopic measurements"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasExperiment","Thermally stimulated current (TSC) measurements"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasExperiment","Absorption current measurements"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Nelson J, Fothergill JC (2004) Nanotechnology 15:586"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Ma D, Siegel RW, Hong JI, Schadler LS, Ma˚rtensson E, O [¨ ] nneby C (2004) J Mater Res 19(3):857"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Nelson JK, Hu Y (2005) J Phys D (Appl Phys) 38:213"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Nelson JK, Fothergill JC, Dissado LA, Peasgood W (2002) In: Proceedings of the conference on Elec Insul & Dielec Phenom, IEEE, Mexico, pp 295–298"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Montanari GC, Fabiani D, Palmieri F, Kaempfer D, Thomann R, Mulhaupt R (2004) IEEE Trans Diel Elect Insul 11(5):754"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Ajayan PM, Braun PV, Schadler LS (2003) In: Nanocomposite Science and Technology, Wiley-VCH Verlag, GmbH&Co. KgaA, Weinham"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Tanaka T, Montanari GC, Mu¨lhaupt R (2004) IEEE Trans Diel Elect Insul 11/5:763"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Lewis TJ (1994) IEEE Trans Diel Elect Insul 1:812"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Lewis TJ (2004) IEEE Trans Diel Elect Insul 11:739"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Fujita F, Ruike M, Baba M (1996) Conference record of the 1996. IEEE Intl Symp Elec Ins, IEEE, San Francisco 2:738"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Khalil MS, Henk PO, Henriksen M (1990) Conference record of the 1990 IEEE International Symp on Elec. Insul; IEEE, Montreal, Canada, p 268"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Fothergill JC, Nelson JK, Fu M (2004) Proceedings of the IEEE Conf on Elect Insul & Diel Phenom, CEIDP, Oct. 17– 20. pp 406–409"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Ma D, Akpalu YA, Li Y, Siegel RW, Schadler LS (2005) J Polym Sci Part B Polym Phys 43(5):463"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Malec D, Truong H, Essolbi R, Hoand TG (1998) IEEE Trans Diel Elect Insul 5/2:301"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Roy M, Nelson JK, MacCrone RK, Schadler LS, Reed CW, Keefe R, Zenger W (2005) IEEE Trans Diel Elect Insul 12:629"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Lunsford JH (1973) Catal Rev 8(1):135"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Canet D (1996) Nuclear magnetic resonance: concepts and methods. John Wiley & Sons Inc., Chichester, New York"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Dissado LA, Fothergill JC (1992) Electrical degradation and breakdown in polymers. Peter Peregrinus Ltd"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Ieda M, Mizutani T, Suzuoki Y (1980) Polymers, Memoirs of the Faculty of Engineering, Nagoya University, 32/2"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Peacock JA (2000) Handbook of polyethylene: structures, properties and applications. Marcel Dekker, New York"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Lichtenecker K, Rother K (1931) Phys Zeit 32:255"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Maxwell-Ganet JC (1904) Philos Trans Roy Soc Lond Ser A 203:385"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Landau LD, Lifshitz EM (1984) Electrodynamics of continuous media, 2nd edn. Pergamon Press, Oxford"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Jonscher AK (1983) Dielectric relaxation of solids. Chelsea Dielectric Press"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","O’Konski J (1960) J Phys Chem 64:605"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Maeta S, Sakaguchi K (1980) Jpn J Appl Phys 19/3:519"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Van Turnhout J (1975) Thermally stimulated discharge for polymer electrets. Elsevier, Amsterdam"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasCitation","Raju GG (2003) Dielectrics in electric fields. Marcel Dekker, New York"
